player_id,name,week,ppr_points,position,team,season
00-0037239,Chris Olave,1,3.1,WR,NO,2024
00-0034272,Marquez Valdes-Scantling,1,2.9,WR,BUF,2024
00-0037745,Velus Jones,1,2.9,RB,CHI,2024
00-0039052,Trey Palmer,1,2.9,WR,TB,2024
00-0038640,Jalen Brooks,1,2.8,WR,DAL,2024
00-0039847,Theo Johnson,1,2.8,TE,NYG,2024
00-0039921,Trey Benson,1,2.8,RB,ARI,2024
00-0039794,Braelon Allen,1,2.7,RB,NYJ,2024
00-0034115,Jeffery Wilson,1,2.6,RB,MIA,2024
00-0035208,Olamide Zaccheaus,1,2.5,WR,WAS,2024
00-0036309,Darnell Mooney,1,2.5,WR,ATL,2024
00-0038396,Eric Gray,1,2.5,RB,NYG,2024
00-0033589,David Moore,1,2.4,WR,CAR,2024
00-0034159,Will Dissly,1,2.3,TE,LAC,2024
00-0039066,Michael Mayer,1,2.3,TE,LV,2024
00-0035243,Miles Sanders,1,2.2,RB,CAR,2024
00-0036919,Kenneth Gainwell,1,2.2,RB,PHI,2024
00-0037666,Jalen Tolbert,1,2.2,WR,DAL,2024
00-0037086,Grant Calcaterra,1,2.1,TE,PHI,2024
00-0037263,Tyler Allgeier,1,2.1,RB,ATL,2024
00-0038933,Dalton Kincaid,1,2.1,TE,BUF,2024
00-0039919,Rome Odunze,1,2.1,WR,CHI,2024
00-0033526,Samaje Perine,1,2.0,RB,KC,2024
00-0031585,MyCole Pruitt,1,1.9,TE,PIT,2024
00-0036527,D.J. Turner,1,1.9,WR,LV,2024
00-0030564,DeAndre Hopkins,1,1.8,WR,TEN,2024
00-0034613,Tanner Hudson,1,1.8,TE,CIN,2024
00-0036328,Antonio Gibson,1,1.8,RB,NE,2024
00-0033858,Jonnu Smith,1,1.7,TE,MIA,2024
00-0037837,Calvin Austin,1,1.7,WR,PIT,2024
00-0039384,Tyrone Tracy,1,1.7,RB,NYG,2024
00-0031549,Nelson Agholor,1,1.6,WR,BAL,2024
00-0031763,DeAndre Carter,1,1.6,WR,CHI,2024
00-0034270,Tyler Conklin,1,1.6,TE,NYJ,2024
00-0035341,Trenton Irwin,1,1.6,WR,CIN,2024
00-0037258,Dameon Pierce,1,1.6,RB,HOU,2024
00-0037557,Ronnie Rivers,1,1.6,RB,LA,2024
00-0038720,Julian Hill,1,1.6,TE,MIA,2024
00-0039623,Mason Tipton,1,1.6,WR,NO,2024
00-0039907,Ja'Lynn Polk,1,1.6,WR,NE,2024
00-0031941,Jamison Crowder,1,1.5,WR,WAS,2024
00-0033881,Evan Engram,1,1.5,TE,JAX,2024
00-0038129,Cade Otton,1,1.5,TE,TB,2024
00-0038558,Darnell Washington,1,1.5,TE,PIT,2024
00-0038576,Charlie Jones,1,1.5,WR,CIN,2024
00-0036290,Cole Kmet,1,1.4,TE,CHI,2024
00-0036429,Charlie Woerner,1,1.4,TE,ATL,2024
00-0036555,Chuba Hubbard,1,1.4,RB,CAR,2024
00-0039356,Ja'Tavion Sanders,1,1.4,TE,CAR,2024
00-0039373,Audric Estime,1,1.4,RB,DEN,2024
00-0039849,Marvin Harrison,1,1.4,WR,ARI,2024
00-0030578,Cordarrelle Patterson,1,1.3,RB,PIT,2024
00-0031595,Michael Burton,1,1.3,FB,DEN,2024
00-0033854,Dare Ogunbowale,1,1.3,RB,HOU,2024
00-0036556,Brevin Jordan,1,1.3,TE,HOU,2024
00-0037742,Treylon Burks,1,1.3,WR,TEN,2024
00-0038115,Daniel Bellinger,1,1.3,TE,NYG,2024
00-0038606,Parker Washington,1,1.3,WR,JAX,2024
00-0038618,Xavier Hutchinson,1,1.3,WR,HOU,2024
00-0038979,Cedric Tillman,1,1.3,WR,CLE,2024
00-0032464,Kalif Raymond,1,1.2,WR,DET,2024
00-0036754,Brock Wright,1,1.2,TE,DET,2024
00-0039890,Adonai Mitchell,1,1.2,WR,IND,2024
00-0032918,C.J. Ham,1,1.1,FB,MIN,2024
00-0036268,Laviska Shenault Jr.,1,1.1,WR,SEA,2024
00-0036415,Van Jefferson,1,1.1,WR,PIT,2024
00-0038678,Jordan Mims,1,1.1,RB,NO,2024
00-0035594,Travis Homer,1,1.0,RB,CHI,2024
00-0033895,Gerald Everett,1,0.9,TE,CHI,2024
00-0038573,Derius Davis,1,0.9,WR,LAC,2024
00-0035125,Alec Ingold,1,0.8,FB,MIA,2024
00-0034208,Mike Boone,1,0.7,RB,CAR,2024
00-0035537,Ty Johnson,1,0.7,RB,BUF,2024
00-0036906,Khalil Herbert,1,0.4,RB,CHI,2024
00-0038622,Deuce Vaughn,1,0.4,RB,DAL,2024
00-0036331,Devin Duvernay,1,0.3,WR,JAX,2024
00-0039325,Carson Steele,1,0.3,RB,KC,2024
00-0023853,Matt Prater,1,0.0,K,ARI,2024
00-0025565,Nick Folk,1,0.0,K,TEN,2024
00-0026190,Calais Campbell,1,0.0,DE,MIA,2024
00-0026858,Graham Gano,1,0.0,K,NYG,2024
00-0027114,Thomas Morstead,1,0.0,P,NYJ,2024
00-0027865,Brandon Graham,1,0.0,DE,PHI,2024
00-0027940,Von Miller,1,0.0,DE,BUF,2024
00-0027962,Cameron Jordan,1,0.0,DE,NO,2024
00-0027969,Cameron Heyward,1,0.0,DT,PIT,2024
00-0027973,Andy Dalton,1,0.0,QB,CAR,2024
00-0028872,Johnny Hekker,1,0.0,P,CAR,2024
00-0029008,Charley Hughlett,1,0.0,LS,CLE,2024
00-0029255,Bobby Wagner,1,0.0,ILB,WAS,2024
00-0029542,Stephon Gilmore,1,0.0,CB,MIN,2024
00-0029562,Lavonte David,1,0.0,ILB,TB,2024
00-0029597,Justin Tucker,1,0.0,K,BAL,2024
00-0029606,Harrison Smith,1,0.0,SS,MIN,2024
00-0029607,Demario Davis,1,0.0,MLB,NO,2024
00-0029621,Greg Zuerlein,1,0.0,K,NYJ,2024
00-0029685,Greg Van Roten,1,0.0,G,NYG,2024
00-0029692,Bryan Anger,1,0.0,P,DAL,2024
00-0030062,Darius Slay,1,0.0,CB,PHI,2024
00-0030063,Johnathan Hankins,1,0.0,DT,SEA,2024
00-0030070,John Jenkins,1,0.0,DT,LV,2024
00-0030092,Sam Martin,1,0.0,P,BUF,2024
00-0030098,Dustin Hopkins,1,0.0,K,CLE,2024
00-0030114,Jordan Poyer,1,0.0,SS,MIA,2024
00-0030140,Tress Way,1,0.0,P,WAS,2024
00-0030386,William Gholston,1,0.0,DE,TB,2024
00-0030459,Tyrann Mathieu,1,0.0,FS,NO,2024
00-0030561,Lane Johnson,1,0.0,T,PHI,2024
00-0030757,Mike Pennel,1,0.0,NT,KC,2024
00-0031040,Khalil Mack,1,0.0,DE,LAC,2024
00-0031054,DaQuan Jones,1,0.0,DT,BUF,2024
00-0031136,Chris Boswell,1,0.0,K,PIT,2024
00-0031203,Cairo Santos,1,0.0,K,CHI,2024
00-0031270,Shelby Harris,1,0.0,DT,CLE,2024
00-0031279,Jake Matthews,1,0.0,T,ATL,2024
00-0031296,C.J. Mosley,1,0.0,ILB,NYJ,2024
00-0031298,Jimmie Ward,1,0.0,FS,HOU,2024
00-0031299,Jordan Matthews,1,0.0,TE,CAR,2024
00-0031357,C.J. Goodwin,1,0.0,CB,DAL,2024
00-0031360,Kyle Van Noy,1,0.0,OLB,BAL,2024
00-0031364,Jadeveon Clowney,1,0.0,OLB,CAR,2024
00-0031411,Demarcus Lawrence,1,0.0,DE,DAL,2024
00-0031426,Joel Bitonio,1,0.0,G,CLE,2024
00-0031492,Jason Myers,1,0.0,K,SEA,2024
00-0031550,Shaq Thompson,1,0.0,ILB,CAR,2024
00-0031551,Eddie Goldman,1,0.0,NT,ATL,2024
00-0031554,Eric Kendricks,1,0.0,ILB,DAL,2024
00-0031557,Jordan Phillips,1,0.0,DT,DAL,2024
00-0031565,Danielle Hunter,1,0.0,DE,HOU,2024
00-0031576,Za'Darius Smith,1,0.0,DE,CLE,2024
00-0031583,Grady Jarrett,1,0.0,DT,ATL,2024
00-0031608,Quandre Diggs,1,0.0,FS,TEN,2024
00-0031690,Eric Tomlinson,1,0.0,TE,LAC,2024
00-0031785,Troy Hill,1,0.0,CB,CAR,2024
00-0031898,Alex Singleton,1,0.0,ILB,DEN,2024
00-0031933,Leonard Williams,1,0.0,DT,SEA,2024
00-0031935,Preston Smith,1,0.0,DE,GB,2024
00-0031957,Rakeem Nunez-Roches,1,0.0,NT,NYG,2024
00-0032052,Dante Fowler,1,0.0,OLB,WAS,2024
00-0032065,Bradley Pinion,1,0.0,P,ATL,2024
00-0032103,Denzel Perryman,1,0.0,ILB,LAC,2024
00-0032104,Ameer Abdullah,1,0.0,RB,LV,2024
00-0032129,Jordan Hicks,1,0.0,ILB,CLE,2024
00-0032146,Bud Dupree,1,0.0,OLB,LAC,2024
00-0032164,Arik Armstead,1,0.0,DE,JAX,2024
00-0032195,Ronald Darby,1,0.0,CB,JAX,2024
