player_id,name,position,projected_points
3676833,KaVontae Turpin,WR,76.55940141
4241474,Brian Robinson Jr.,RB,76.45674157
-16025,49ers D/ST,DST,75.99355303
3059915,Kareem Hunt,RB,75.42621474
-16010,Titans D/ST,DST,74.5285637
3127292,Will Dissly,TE,74.27372296
4429059,Woody Marks,RB,73.43132617
4429086,Michael Mayer,TE,73.15477291
3128390,Allen Lazard,WR,72.97621638
4045163,Miles Sanders,RB,71.62791918
4368003,Andrei Iosivas,WR,71.31460632
4360078,Alec Pierce,WR,71.05610253
-16024,Chargers D/ST,DST,70.78530285
4240472,Noah Gray,TE,70.75729044
4429084,Anthony Richardson Sr.,QB,70.49329346
4427238,Dillon Gabriel,QB,69.95712201
-16001,Falcons D/ST,DST,69.90516959
4569559,Devaughn Vele,WR,69.79682001
4249417,Jalen Tolbert,WR,69.67007002
4431492,Roman Wilson,WR,69.33807224
4429022,Kayshon Boutte,WR,67.83078027
-16005,Browns D/ST,DST,66.10883742
4212909,David Moore,WR,65.97044341
4428718,Tre Tucker,WR,64.49867011
4686728,Gunnar Helm,TE,63.43934819
3116389,Samaje Perine,RB,62.63063698
3930066,Van Jefferson,WR,61.80837043
-16028,Commanders D/ST,DST,61.51016674
-16018,Saints D/ST,DST,60.98274024
16731,Brandin Cooks,WR,60.31267403
4037235,Greg Dortch,WR,60.05806632
3043275,Austin Hooper,TE,59.63686442
-16004,Bengals D/ST,DST,59.24082837
4428678,Jamari Thrash,WR,59.18403951
4569382,Jordan Whittington,WR,58.88162385
4431545,Will Shipley,RB,57.69158855
4595342,Oronde Gadsden II,TE,56.98404233
5123663,Isaac TeSlaa,WR,56.47495844
4432762,Shedeur Sanders,QB,55.75211515
4597703,Tory Horton,WR,55.67677496
4569603,Malik Washington,WR,55.31380205
4371733,Kenneth Gainwell,RB,55.18127621
-16013,Raiders D/ST,DST,55.16013767
3915411,Ty Johnson,RB,54.60885332
4429023,MarShawn Lloyd,RB,53.71669924
5083076,Harold Fannin Jr.,TE,53.58403718
4608686,Kyle Monangai,RB,53.46951245
4613202,Kyle Williams,WR,53.46106286
4682652,Devin Neal,RB,52.02702354
4360238,Dameon Pierce,RB,51.59058158
4372780,Tommy Tremble,TE,51.4089882
4429033,Jermaine Burton,WR,50.40192783
4248528,Christian Watson,WR,50.17093756
-16029,Panthers D/ST,DST,50.16613352
3843945,Foster Moreau,TE,49.56622111
4570037,Terrance Ferguson,TE,49.37853204
4241555,Elijah Mitchell,RB,49.08766956
4432775,Dont'e Thornton Jr.,WR,47.66766859
3930086,Dawson Knox,TE,47.16929209
4429096,Blake Corum,RB,47.05540655
4690923,Ben Sinnott,TE,46.79187171
3121427,Curtis Samuel,WR,46.42856094
2576414,Raheem Mostert,RB,46.11958364
4682745,Jaylen Wright,RB,45.34380479
3120348,JuJu Smith-Schuster,WR,44.86140936
4432620,Parker Washington,WR,44.47345248
4258595,Cole Kmet,TE,44.29456397
4686422,Xavier Hutchinson,WR,44.06565544
3915486,Tyler Conklin,TE,40.92077213
4603186,Jack Bech,WR,39.2728398
4426496,Cade Stover,TE,37.82761214
4431268,Chimere Dike,WR,37.67667888
3917914,Olamide Zaccheaus,WR,36.73099529
4426844,Elijah Higgins,TE,35.86812167
4365395,Julian Hill,TE,35.14145277
3911853,Adam Trautman,TE,34.37568214
4428085,Luke Musgrave,TE,34.33837962
4586312,Jaylin Noel,WR,34.20484618
4372561,Isaac Guerendo,RB,33.78356766
4360405,Jake Bobo,WR,33.66281909
4710341,Jarquez Hunter,RB,32.73762274
4362619,Chris Rodriguez Jr.,RB,32.53360899
3921690,Josh Oliver,TE,32.25633251
4887558,Emanuel Wilson,RB,31.96452478
4430834,Jalen McMillan,WR,30.40817409
3059722,Zay Jones,WR,30.11568872
4372414,Elijah Moore,WR,30.03352478
4243371,Riley Patterson,K,29.71712739
4808839,Isaiah Bond,WR,29.63044787
4372096,Luke Schoonmaker,TE,28.93777914
4430871,Sean Tucker,RB,28.2378738
4362478,Emari Demercado,RB,27.86861072
4695404,Isaiah Davis,RB,27.80129879
2973405,Kalif Raymond,WR,27.72050241
4429121,Kalel Mullings,RB,27.54265461
4426948,Luke McCaffrey,WR,27.51973335
4596334,Keaton Mitchell,RB,27.45506944
16002,Kyle Juszczyk,RB,27.02588732
2991662,Mack Hollins,WR,26.97817745
3047876,KhaDarel Hodge,WR,26.18093832
4361409,Jahan Dotson,WR,25.7864031
3149687,Chris Brooks,RB,25.11969109
3043116,Demarcus Robinson,WR,25.11699732
4382466,Jalen Nailor,WR,24.88173345
4685350,Trevor Etienne,RB,23.58680466
2976592,Sterling Shepard,WR,22.56787095
3052096,Johnny Mundt,TE,22.33391365
3917668,Alec Ingold,RB,22.30670352
4602667,Jaylin Lane,WR,22.18336205
4596602,Brashard Smith,RB,21.61981527
4429105,Arian Smith,WR,21.42490239
4722893,Jaleel McLaughlin,RB,20.68709765
4361777,Zamir White,RB,20.65700819
4431487,Savion Williams,WR,20.65382795
4428850,Dontayvion Wicks,WR,20.54533129
4874509,DJ Giddens,RB,20.36150654
4362921,Tyquan Thornton,WR,20.32085618
4362477,Derius Davis,WR,19.73169568
4241374,Grant Calcaterra,TE,19.69042195
4429299,Tahj Brooks,RB,19.51899219
5083754,Ryan Flournoy,WR,19.36721396
3134353,Tim Patrick,WR,18.58176273
4040761,Devin Singletary,RB,18.44645028
4048228,John Bates,TE,18.09290921
4361372,Jeremy Ruckert,TE,16.98974298
4035020,Charlie Woerner,TE,16.67288104
4361516,Daniel Bellinger,TE,16.65994889
4427278,Xavier Gipson,WR,15.87067806
2983509,Dare Ogunbowale,RB,15.69419086
4431466,Jordan Watkins,WR,15.56422652
3127310,Drew Sample,TE,15.20979217
4242557,Colby Parkinson,TE,14.75149239
4608810,Tez Johnson,WR,14.6190764
4241263,Charlie Kolar,TE,13.64818037
4430802,Darnell Washington,TE,13.43796729
4775196,Tommy Mellott,WR,13.26429096
4695193,Efton Chism III,WR,12.72112767
4383396,Hunter Luepke,RB,12.27594688
3914397,Scotty Miller,WR,12.17062119
4372505,Payne Durham,TE,12.00345623
4239934,AJ Dillon,RB,11.88699064
4426407,Trey Palmer,WR,11.85260084
4432731,Moliki Matavao,TE,11.82614948
4367567,Julius Chestnut,RB,11.07903041
4429676,Tyler Goodson,RB,10.64989779
4911851,LeQuint Allen Jr.,RB,10.52681747
3061612,Jamal Agnew,WR,10.30010372
4565185,Tai Felton,WR,10.18188266
4047422,Tanner Conner,TE,10.05007128
5082630,Jalen Royals,WR,9.97215078
4360967,Brevyn Spann-Ford,TE,9.96961269
3127586,Jeremy McNichols,RB,9.96864608
4242392,Brock Wright,TE,9.7813705
4605841,Nathan Carter,RB,9.64487709
4708486,Jimmy Horn Jr.,WR,9.62330065
4360231,Lucas Krull,TE,9.25052165
4242431,Ty Chandler,RB,9.19515045
4045305,Ian Thomas,TE,9.14414889
2998565,Mo Alie-Cox,TE,8.95600455
4429835,George Holani,RB,8.94914695
4696700,Tip Reiman,TE,8.9386849
4360978,David Martin-Robinson,TE,8.93722565
4040612,Luke Farrell,TE,8.93253231
3122168,Trent Sherfield Sr.,WR,8.91552233
4360294,Antonio Gibson,RB,8.86606953
4808830,Damien Martinez,RB,8.86061576
4430191,Skyy Moore,WR,8.84595768
4362018,Blake Whiteheart,TE,8.81119291
2975863,Eric Saubert,TE,8.80977753
4362617,Bryce Oliver,WR,8.58755876
4877203,Gage Larvadain,WR,8.38353159
3052897,Durham Smythe,TE,8.34203349
4692590,Jalin Hyatt,WR,7.90660929
4421446,Craig Reynolds,RB,7.8373584
4567096,John Metchie III,WR,7.29926143
4690013,Rasheen Ali,RB,7.10236407
2975417,Patrick Ricard,RB,7.04309153
4372071,Hassan Haskins,RB,6.96143591
2580216,DeAndre Carter,WR,6.88084956
4427728,Bam Knight,RB,6.63189272
4714365,Carson Steele,RB,6.60678905
4012556,C.J. Ham,RB,6.47585227
4043016,Dee Eskridge,WR,5.43147885
4690070,Mitchell Tinsley,WR,5.28241113
4696882,Devontez Walker,WR,5.25947678
4432734,Jalen Milroe,QB,5.15880208
4430723,Jared Wiley,TE,5.096939
3050481,Tanner Hudson,TE,5.00724968
4383440,Nate Adkins,TE,4.86557343
4708049,Gavin Bartholomew,TE,4.8571454
4710855,Konata Mumpfield,WR,4.82087813
4426553,Davis Allen,TE,4.81533661
4241424,Tylan Wallace,WR,4.75593755
4242558,Tucker Fisk,TE,4.70040512
3118892,Justin Watson,WR,4.66194728
4374045,Teagan Quitoriano,TE,4.58492614
4430870,KeAndre Lambert-Smith,WR,4.5773883
4683243,Mitchell Evans,TE,4.55681998
4239944,Hunter Long,TE,4.51111951
4573699,Jackson Hawes,TE,4.41838234
4428811,Xavier Weaver,WR,4.39339665
4361100,Jack Westover,TE,4.39171706
4034948,Feleipe Franks,TE,4.35672598
2531358,Chris Manhertz,TE,4.34974461
4241961,Connor Heyward,TE,4.34937072
4241476,Tyrell Shavers,WR,4.30630984
4689334,Malik Heath,WR,4.18765846
4722908,Drew Ogletree,TE,4.1490672
4431210,Beaux Collins,WR,4.14795695
4241983,Cody White,WR,4.11530984
4429684,Anthony Gould,WR,4.10301181
4366963,Dylan Laube,RB,4.05208914
4061956,Ashton Dulin,WR,3.98633951
4573697,Mason Tipton,WR,3.9477711
4691688,Robbie Ouzts,RB,3.92244811
4362523,Will Mallory,TE,3.87286004
4035656,Ben Skowronek,WR,3.82887399
4039160,Kylen Granson,TE,3.81102922
4250764,Stone Smartt,TE,3.71817986
4386544,Xavier Smith,WR,3.07014537
4372716,Nikko Remigio,WR,2.93433073
3886812,Jake Browning,QB,2.90796284
16728,Teddy Bridgewater,QB,2.84572766
4685397,Jordan James,RB,2.72473403
16760,Jimmy Garoppolo,QB,2.71547503
2573079,Carson Wentz,QB,2.69230238
2576980,Marcus Mariota,QB,2.68794146
4038524,Gardner Minshew,QB,2.68307336
4568024,Josh Williams,RB,2.57826104
4360698,Joe Milton III,QB,2.57667884
4434153,Tyson Bagent,QB,2.49269578
4383351,Trey Lance,QB,2.48756949
3892775,Jarrett Stidham,QB,2.44643638
3059989,Nick Mullens,QB,2.4449461
14880,Kirk Cousins,QB,2.40514912
4242512,Malik Willis,QB,2.39322276
4361259,Zach Wilson,QB,2.39068451
14012,Andy Dalton,QB,2.3564484
4257188,Charlie Jones,WR,2.30581391
2972515,Cooper Rush,QB,2.28630176
4242546,Davis Mills,QB,2.27311009
2578570,Jacoby Brissett,QB,2.23587873
4240703,Kenny Pickett,QB,2.19928763
3116407,Mason Rudolph,QB,2.17057362
3044720,Joshua Dobbs,QB,2.16428045
4369466,Ryan Miller,WR,2.16018301
14163,Tyrod Taylor,QB,2.14174598
3039707,Mitchell Trubisky,QB,2.11745541
4241464,Mac Jones,QB,2.10550194
4685201,Tanner McKee,QB,2.09830771
2574511,Brandon Allen,QB,2.04430661
3123075,Braxton Berrios,WR,1.89655249
3115293,Kyle Allen,QB,1.89193237
4035693,Velus Jones Jr.,RB,0.69947523
4690143,LaJohntay Wester,WR,0.44231306
4692022,Javon Baker,WR,0.23013073
5097554,Kameron Johnson,WR,0.10395698
5092436,Jude McAtamney,K,0.0
3052177,John Ross,WR,0.0
4589248,Tyreik McAllister,WR,0.0
4426990,Jalen Cropper,WR,0.0
4248425,Carlos Washington Jr.,RB,0.0
4429805,Frank Gore Jr.,RB,0.0
4367510,Dante Miller,RB,0.0
4431536,Donovan Edwards,RB,0.0
4431431,Corey Kiner,RB,0.0
4570688,Caden Davis,K,0.0
4574716,Harrison Mevis,K,0.0
4426535,Theo Wease Jr.,WR,0.0
4573243,Chandler Brayboy,WR,0.0
4036129,Dominique Dafney,TE,0.0
3050487,Anthony Miller,WR,0.0
4361604,Blake Watson,RB,0.0
4383429,Jacob Saylors,RB,0.0
4362489,John Stephens Jr.,TE,0.0
4373634,Dallin Holker,TE,0.0
4569156,Michael Wiley,RB,0.0
4431506,Ja'Corey Brooks,WR,0.0
2969939,Jameis Winston,QB,0.0
4430681,Jared Wayne,WR,0.0
3040569,Trent Taylor,WR,0.0
2468609,Taysom Hill,TE,0.0
3128317,Juwann Winfree,WR,0.0
4037457,Travis Homer,RB,0.0
4040980,Irv Smith Jr.,TE,0.0
4048244,Alexander Mattison,RB,0.0
3924327,Drew Lock,QB,0.0
3122840,Deshaun Watson,QB,0.0
2515270,Michael Burton,RB,0.0
15168,Case Keenum,QB,0.0
11394,Josh Johnson,QB,0.0
3916564,Tyree Jackson,TE,0.0
3125107,Andrew Beck,RB,0.0
3912092,Donald Parham Jr.,TE,0.0
4243315,Salvon Ahmed,RB,0.0
4039505,Reggie Gilliam,RB,0.0
4046715,Trishton Jackson,WR,0.0
4372485,Rondale Moore,WR,0.0
4362504,Brevin Jordan,TE,0.0
4035537,Kene Nwangwu,RB,0.0
4044144,Kenny Yeboah,TE,0.0
4608362,Shane Zylstra,TE,0.0
4039358,Patrick Taylor Jr.,RB,0.0
4249030,D.J. Montgomery,WR,0.0
3871102,David Sills V,WR,0.0
4567156,Treylon Burks,WR,0.0
4241410,Jelani Woods,TE,0.0
4426875,Sam Howell,QB,0.0
4570409,David Bell,WR,0.0
4034779,Ko Kieft,TE,0.0
4249836,Pierre Strong Jr.,RB,0.0
4362087,Keaontay Ingram,RB,0.0
4379401,John FitzPatrick,TE,0.0
4361988,James Mitchell,TE,0.0
4362748,Tyler Badie,RB,0.0
4036419,Skylar Thompson,QB,0.0
4401805,Dareke Young,WR,0.0
4259147,Jake Tonges,TE,0.0
4035198,Brandon Johnson,WR,0.0
4426485,Jonathan Mingo,WR,0.0
4361418,Will Levis,QB,0.0
4259553,Stetson Bennett IV,QB,0.0
4366031,Tank Dell,WR,0.0
4570561,Eric Gray,RB,0.0
4427391,Kenny McIntosh,RB,0.0
4260394,Aidan O'Connell,QB,0.0
4372526,Deneric Prince,RB,0.0
4689988,Jason Brownlee,WR,0.0
3929636,Irvin Charles,WR,0.0
4373030,Ben Sims,TE,0.0
4372070,Ben VanSumeren,RB,0.0
4243176,Brady Russell,RB,0.0
4240391,Tommy DeVito,QB,0.0
4259324,Travis Vokolek,TE,0.0
4678008,Jonathon Brooks,RB,0.0
4430637,Ja'Lynn Polk,WR,0.0
4427834,Erick All Jr.,TE,0.0
4427985,Bub Means,WR,0.0
4428796,Casey Washington,WR,0.0
4361112,Devin Culp,TE,0.0
4575665,Jacob Cowing,WR,0.0
4912274,Sione Vaki,RB,0.0
4567506,Tahj Washington,WR,0.0
4686104,Johnny Wilson,WR,0.0
4384171,Tanner McLachlan,TE,0.0
4362227,Bryce Ford-Wheaton,WR,0.0
4373273,British Brooks,RB,0.0
4361088,Colson Yankoff,TE,0.0
4426893,Joshua Cephus,WR,0.0
4700712,Cam Grandy,TE,0.0
4360763,Brycen Tremayne,WR,0.0
4889929,Quinn Ewers,QB,0.0
4431562,Phil Mafah,RB,0.0
4426335,Graham Mertz,QB,0.0
4590292,Thomas Fidone II,TE,0.0
4430431,Kurtis Rourke,QB,0.0
4431509,Kaden Prather,WR,0.0
4596439,Dominic Lovett,WR,0.0
4683423,Riley Leonard,QB,0.0
4429955,Will Howard,QB,0.0
4601080,Raheim Sanders,RB,0.0
4698253,Lan Larison,RB,0.0
16813,Logan Thomas,TE,0.0
16810,AJ McCarron,QB,0.0
17315,Keith Smith,RB,0.0
13987,Blaine Gabbert,QB,0.0
11387,Matthew Slater,WR,0.0
15948,Matt Barkley,QB,0.0
12477,Brian Hoyer,QB,0.0
3116158,Jason Cabinda,RB,0.0
3128724,Isaiah McKenzie,WR,0.0
2576581,Chris Moore,WR,0.0
3002265,Dwayne Washington,RB,0.0
3115255,Brandon Powell,WR,0.0
2978109,Zach Pascal,WR,0.0
3122899,Richie James,WR,0.0
2975674,Robert Tonyan,TE,0.0
3045523,Kendrick Bourne,WR,0.0
3128452,Jordan Akins,TE,0.0
3051889,Laquon Treadwell,WR,0.0
2576399,Nick Vannett,TE,0.0
3052056,River Cracraft,WR,0.0
3046401,Keith Kirkwood,WR,0.0
2511973,Eric Tomlinson,TE,0.0
3049698,Anthony Firkser,TE,0.0
2977800,Alex Erickson,WR,0.0
4036335,Cedrick Wilson Jr.,WR,0.0
3120303,Ross Dwelley,TE,0.0
